strategy,layer,speedup,tuning,scale,ACC-all,F1,F1-ood,F1-ind
each_layer,1,1.0,valid_all,1.5+1.4,74.19,78.97,59.45,79.31
each_layer,2,1.0,valid_all,1.5+1.4,81.79,86.71,67.0,87.06
each_layer,3,1.0,valid_all,1.5+1.4,84.06,87.9,73.5,88.16
each_layer,4,1.0,valid_all,1.5+1.4,86.01,89.02,77.82,89.21
each_layer,5,1.0,valid_all,1.5+1.4,86.33,89.15,78.71,89.34
each_layer,6,1.0,valid_all,1.5+1.4,86.3,89.39,77.86,89.59
each_layer,7,1.0,valid_all,1.5+1.4,84.81,88.72,73.25,88.99
each_layer,8,1.0,valid_all,1.5+1.4,86.1,89.49,76.86,89.71
each_layer,9,1.0,valid_all,1.5+1.4,85.52,89.2,75.11,89.45
each_layer,10,1.0,valid_all,1.5+1.4,85.78,89.27,76.16,89.5
each_layer,11,1.0,valid_all,1.5+1.4,84.84,88.9,73.16,89.17
each_layer,12,1.0,valid_all,1.5+1.4,83.51,88.13,69.62,88.46
esm,-1,1.7280718159715729,valid_all,1.5+1.4,85.52,89.18,75.31,89.42
pabee,-1,2.071865014855093,valid_all,1.5+1.4,85.16,88.82,74.66,89.07
random,-1,1.8646889662479187,valid_all,1.5+1.4,83.93,87.65,73.44,87.89
