strategy,layer,speedup,tuning,scale,ACC-all,F1,F1-ood,F1-ind
each_layer,1,1.0,valid_all,1.5+1.4,75.36,79.38,65.08,79.63
each_layer,2,1.0,valid_all,1.5+1.4,82.95,86.8,72.89,87.05
each_layer,3,1.0,valid_all,1.5+1.4,83.34,87.17,73.39,87.41
each_layer,4,1.0,valid_all,1.5+1.4,82.79,86.88,72.1,87.14
each_layer,5,1.0,valid_all,1.5+1.4,83.54,87.52,73.06,87.78
each_layer,6,1.0,valid_all,1.5+1.4,84.16,88.44,73.05,88.71
each_layer,7,1.0,valid_all,1.5+1.4,83.54,87.99,71.77,88.28
each_layer,8,1.0,valid_all,1.5+1.4,83.7,88.07,72.27,88.34
each_layer,9,1.0,valid_all,1.5+1.4,83.86,88.48,71.04,88.78
each_layer,10,1.0,valid_all,1.5+1.4,83.96,88.36,72.39,88.64
each_layer,11,1.0,valid_all,1.5+1.4,84.25,88.57,72.84,88.84
each_layer,12,1.0,valid_all,1.5+1.4,83.86,88.39,71.35,88.68
esm,-1,1.7740232312565998,valid_all,1.5+1.4,84.68,88.76,74.15,89.01
pabee,-1,2.121090387374462,valid_all,1.5+1.4,84.22,88.28,73.62,88.53
random,-1,1.8185396575477268,valid_all,1.5+1.4,83.12,87.41,71.71,87.69
