strategy,layer,speedup,tuning,scale,ACC-all,F1,F1-ood,F1-ind
each_layer,1,1.0,valid_all,1.5+1.4,68.31,76.96,33.74,77.71
each_layer,2,1.0,valid_all,1.5+1.4,79.55,85.18,63.9,85.55
each_layer,3,1.0,valid_all,1.5+1.4,80.23,85.95,63.45,86.35
each_layer,4,1.0,valid_all,1.5+1.4,82.69,87.27,70.13,87.57
each_layer,5,1.0,valid_all,1.5+1.4,83.51,87.73,72.6,88.0
each_layer,6,1.0,valid_all,1.5+1.4,84.09,88.02,73.92,88.26
each_layer,7,1.0,valid_all,1.5+1.4,84.81,88.72,74.52,88.97
each_layer,8,1.0,valid_all,1.5+1.4,83.73,88.56,70.06,88.89
each_layer,9,1.0,valid_all,1.5+1.4,84.81,88.99,73.36,89.26
each_layer,10,1.0,valid_all,1.5+1.4,85.06,89.11,74.29,89.37
each_layer,11,1.0,valid_all,1.5+1.4,85.0,89.18,73.71,89.45
each_layer,12,1.0,valid_all,1.5+1.4,84.97,89.2,73.35,89.48
esm,-1,1.6379348548637267,valid_all,1.5+1.4,84.58,88.76,73.42,89.03
pabee,-1,1.9036827195467418,valid_all,1.5+1.4,84.29,88.75,71.85,89.05
random,-1,1.8364304879260658,valid_all,1.5+1.4,82.5,87.19,69.38,87.5
