strategy,layer,speedup,tuning,scale,ACC-all,F1,F1-ood,F1-ind
each_layer,1,1.0,valid_all,1.5+1.4,69.68,75.87,47.21,76.37
each_layer,2,1.0,valid_all,1.5+1.4,80.68,84.69,69.54,84.96
each_layer,3,1.0,valid_all,1.5+1.4,81.4,85.05,71.62,85.29
each_layer,4,1.0,valid_all,1.5+1.4,83.25,86.41,74.86,86.62
each_layer,5,1.0,valid_all,1.5+1.4,83.83,87.33,74.66,87.55
each_layer,6,1.0,valid_all,1.5+1.4,84.97,88.65,75.3,88.88
each_layer,7,1.0,valid_all,1.5+1.4,85.45,88.77,76.42,88.98
each_layer,8,1.0,valid_all,1.5+1.4,85.03,88.76,74.55,89.01
each_layer,9,1.0,valid_all,1.5+1.4,85.26,89.21,74.56,89.46
each_layer,10,1.0,valid_all,1.5+1.4,84.74,89.01,73.34,89.28
each_layer,11,1.0,valid_all,1.5+1.4,84.68,88.9,73.32,89.18
each_layer,12,1.0,valid_all,1.5+1.4,83.77,88.48,70.72,88.79
esm,-1,1.6566562079784852,valid_all,1.5+1.4,86.2,89.42,77.41,89.63
pabee,-1,1.916913023183445,valid_all,1.5+1.4,85.42,88.76,76.06,88.98
random,-1,1.8172878355787196,valid_all,1.5+1.4,82.4,86.53,70.66,86.81
