strategy,layer,speedup,tuning,scale,ACC-all,F1,F1-ood,F1-ind
each_layer,1,1.0,valid_all,1.5+1.4,28.8,59.87,20.97,67.65
each_layer,2,1.0,valid_all,1.5+1.4,91.47,84.31,94.5,82.27
each_layer,3,1.0,valid_all,1.5+1.4,89.33,81.28,92.99,78.94
each_layer,4,1.0,valid_all,1.5+1.4,91.55,85.13,94.42,83.27
each_layer,5,1.0,valid_all,1.5+1.4,93.33,87.52,95.65,85.89
each_layer,6,1.0,valid_all,1.5+1.4,92.18,86.13,94.84,84.39
each_layer,7,1.0,valid_all,1.5+1.4,92.53,86.18,95.12,84.4
each_layer,8,1.0,valid_all,1.5+1.4,92.98,86.65,95.44,84.89
each_layer,9,1.0,valid_all,1.5+1.4,93.48,87.59,95.76,85.96
each_layer,10,1.0,valid_all,1.5+1.4,93.67,88.09,95.88,86.53
each_layer,11,1.0,valid_all,1.5+1.4,93.5,87.59,95.79,85.95
each_layer,12,1.0,valid_all,1.5+1.4,93.25,87.1,95.63,85.4
esm,-1,1.5532640117357726,valid_all,1.5+1.4,93.8,88.26,95.97,86.72
pabee,-1,1.2311690976556489,valid_all,1.5+1.4,93.35,87.81,95.64,86.24
random,-1,1.8331338951549254,valid_all,1.5+1.4,87.57,81.12,91.72,79.0
