strategy,layer,speedup,tuning,scale,ACC-all,F1,F1-ood,F1-ind
each_layer,1,1.0,valid_all,1.5+1.4,45.28,57.35,51.54,58.51
each_layer,2,1.0,valid_all,1.5+1.4,63.65,52.56,72.54,48.57
each_layer,3,1.0,valid_all,1.5+1.4,59.2,50.04,68.25,46.4
each_layer,4,1.0,valid_all,1.5+1.4,86.53,75.96,91.2,72.92
each_layer,5,1.0,valid_all,1.5+1.4,89.48,80.86,93.14,78.41
each_layer,6,1.0,valid_all,1.5+1.4,92.07,85.34,94.84,83.44
each_layer,7,1.0,valid_all,1.5+1.4,93.28,87.58,95.63,85.96
each_layer,8,1.0,valid_all,1.5+1.4,93.45,87.8,95.75,86.21
each_layer,9,1.0,valid_all,1.5+1.4,93.67,88.43,95.87,86.95
each_layer,10,1.0,valid_all,1.5+1.4,93.95,88.86,96.08,87.41
each_layer,11,1.0,valid_all,1.5+1.4,94.02,89.03,96.12,87.61
each_layer,12,1.0,valid_all,1.5+1.4,93.93,88.88,96.06,87.44
esm,-1,1.4232342999466288,valid_all,1.5+1.4,92.92,86.42,95.46,84.61
pabee,-1,1.3734953549150148,valid_all,1.5+1.4,92.7,86.23,95.3,84.42
random,-1,1.8310826276035708,valid_all,1.5+1.4,83.0,72.92,88.51,69.8
