strategy,layer,speedup,tuning,scale,ACC-all,F1,F1-ood,F1-ind
each_layer,1,1.0,valid_all,1.5+1.4,92.65,85.46,95.25,83.5
each_layer,2,1.0,valid_all,1.5+1.4,94.38,89.49,96.33,88.12
each_layer,3,1.0,valid_all,1.5+1.4,94.0,89.04,96.06,87.63
each_layer,4,1.0,valid_all,1.5+1.4,94.28,89.27,96.26,87.88
each_layer,5,1.0,valid_all,1.5+1.4,94.3,89.32,96.27,87.93
each_layer,6,1.0,valid_all,1.5+1.4,94.05,88.88,96.11,87.44
each_layer,7,1.0,valid_all,1.5+1.4,94.28,89.26,96.26,87.86
each_layer,8,1.0,valid_all,1.5+1.4,94.17,89.13,96.18,87.72
each_layer,9,1.0,valid_all,1.5+1.4,94.15,88.97,96.18,87.53
each_layer,10,1.0,valid_all,1.5+1.4,93.95,88.55,96.06,87.05
each_layer,11,1.0,valid_all,1.5+1.4,93.62,88.23,95.82,86.71
each_layer,12,1.0,valid_all,1.5+1.4,92.7,86.99,95.2,85.35
esm,-1,2.6106820406831286,valid_all,1.5+1.4,94.13,89.02,96.16,87.6
pabee,-1,2.822090698859405,valid_all,1.5+1.4,94.2,89.13,96.21,87.71
random,-1,1.8360321305622849,valid_all,1.5+1.4,93.82,88.43,95.96,86.93
