strategy,layer,speedup,tuning,scale,ACC-all,F1,F1-ood,F1-ind
each_layer,1,1.0,valid_all,1.5+1.4,94.88,90.02,96.7,88.68
each_layer,2,1.0,valid_all,1.5+1.4,95.57,91.44,97.15,90.3
each_layer,3,1.0,valid_all,1.5+1.4,95.4,91.11,97.05,89.92
each_layer,4,1.0,valid_all,1.5+1.4,95.73,91.84,97.24,90.76
each_layer,5,1.0,valid_all,1.5+1.4,95.95,92.27,97.38,91.25
each_layer,6,1.0,valid_all,1.5+1.4,95.77,91.9,97.25,90.83
each_layer,7,1.0,valid_all,1.5+1.4,95.62,91.57,97.16,90.45
each_layer,8,1.0,valid_all,1.5+1.4,95.83,92.04,97.3,90.99
each_layer,9,1.0,valid_all,1.5+1.4,95.33,91.34,96.95,90.22
each_layer,10,1.0,valid_all,1.5+1.4,95.78,91.97,97.26,90.92
each_layer,11,1.0,valid_all,1.5+1.4,95.57,91.63,97.11,90.53
each_layer,12,1.0,valid_all,1.5+1.4,95.4,91.33,97.0,90.2
esm,-1,2.661343978709248,valid_all,1.5+1.4,95.65,91.65,97.18,90.54
pabee,-1,2.9191161564970614,valid_all,1.5+1.4,95.65,91.65,97.18,90.54
random,-1,1.819468310926918,valid_all,1.5+1.4,95.55,91.53,97.11,90.42
