strategy,layer,speedup,tuning,scale,ACC-all,F1,F1-ood,F1-ind
each_layer,1,1.0,valid_all,1.8+1.7,61.68,38.46,74.46,37.49
each_layer,2,1.0,valid_all,1.8+1.7,86.3,67.92,91.73,67.28
each_layer,3,1.0,valid_all,1.8+1.7,87.14,69.14,92.28,68.52
each_layer,4,1.0,valid_all,1.8+1.7,89.02,75.0,93.31,74.5
each_layer,5,1.0,valid_all,1.8+1.7,87.26,75.69,91.89,75.25
each_layer,6,1.0,valid_all,1.8+1.7,90.84,79.13,94.28,78.72
each_layer,7,1.0,valid_all,1.8+1.7,91.91,80.83,94.95,80.44
each_layer,8,1.0,valid_all,1.8+1.7,90.79,81.0,94.13,80.65
each_layer,9,1.0,valid_all,1.8+1.7,91.96,82.32,94.94,81.98
each_layer,10,1.0,valid_all,1.8+1.7,92.28,82.86,95.15,82.53
each_layer,11,1.0,valid_all,1.8+1.7,92.53,83.05,95.32,82.72
each_layer,12,1.0,valid_all,1.8+1.7,92.21,83.04,95.1,82.71
esm,-1,1.1390128555252117,valid_all,1.8+1.7,92.11,82.62,95.04,82.28
pabee,-1,1.7392631016858648,valid_all,1.8+1.7,91.16,79.3,94.58,78.88
random,-1,1.8276553106212425,valid_all,1.8+1.7,88.05,73.44,92.64,72.92
