strategy,layer,speedup,tuning,scale,ACC-all,F1,F1-ood,F1-ind
each_layer,1,1.0,valid_all,1.8+1.7,77.49,40.95,88.32,39.67
each_layer,2,1.0,valid_all,1.8+1.7,89.79,73.04,94.19,72.46
each_layer,3,1.0,valid_all,1.8+1.7,89.84,75.79,94.09,75.29
each_layer,4,1.0,valid_all,1.8+1.7,86.53,73.0,91.75,72.49
each_layer,5,1.0,valid_all,1.8+1.7,89.63,78.49,93.53,78.08
each_layer,6,1.0,valid_all,1.8+1.7,91.42,80.84,94.63,80.47
each_layer,7,1.0,valid_all,1.8+1.7,92.11,82.66,95.06,82.33
each_layer,8,1.0,valid_all,1.8+1.7,92.67,83.14,95.44,82.8
each_layer,9,1.0,valid_all,1.8+1.7,92.19,83.31,95.11,82.99
each_layer,10,1.0,valid_all,1.8+1.7,91.54,82.95,94.68,82.63
each_layer,11,1.0,valid_all,1.8+1.7,91.98,82.58,94.99,82.25
each_layer,12,1.0,valid_all,1.8+1.7,91.81,82.15,94.87,81.8
esm,-1,1.1900205295939317,valid_all,1.8+1.7,92.05,82.17,95.05,81.82
pabee,-1,2.043743277160272,valid_all,1.8+1.7,92.21,80.81,95.39,80.42
random,-1,1.859504132231405,valid_all,1.8+1.7,89.75,76.13,93.95,75.65
