strategy,layer,speedup,tuning,scale,ACC-all,F1,F1-ood,F1-ind
each_layer,1,1.0,valid_all,1.8+1.7,71.72,49.39,82.69,48.49
each_layer,2,1.0,valid_all,1.8+1.7,84.02,68.55,90.07,67.97
each_layer,3,1.0,valid_all,1.8+1.7,85.42,70.01,90.94,69.45
each_layer,4,1.0,valid_all,1.8+1.7,84.4,72.15,90.01,71.67
each_layer,5,1.0,valid_all,1.8+1.7,86.19,73.72,91.21,73.25
each_layer,6,1.0,valid_all,1.8+1.7,89.04,77.67,93.05,77.26
each_layer,7,1.0,valid_all,1.8+1.7,90.6,79.8,94.05,79.42
each_layer,8,1.0,valid_all,1.8+1.7,90.74,79.48,94.16,79.08
each_layer,9,1.0,valid_all,1.8+1.7,90.81,81.14,94.15,80.78
each_layer,10,1.0,valid_all,1.8+1.7,91.93,82.62,94.91,82.28
each_layer,11,1.0,valid_all,1.8+1.7,91.84,82.54,94.84,82.2
each_layer,12,1.0,valid_all,1.8+1.7,92.54,82.1,95.36,81.74
esm,-1,1.1598134802882578,valid_all,1.8+1.7,92.56,82.58,95.36,82.24
pabee,-1,1.9023779724655816,valid_all,1.8+1.7,90.86,78.83,94.41,78.41
random,-1,1.8212317277737837,valid_all,1.8+1.7,87.61,73.54,92.3,73.03
