strategy,layer,speedup,tuning,scale,ACC-all,F1,F1-ood,F1-ind
each_layer,1,1.0,valid_all,1.8+1.7,49.72,33.8,63.06,33.01
each_layer,2,1.0,valid_all,1.8+1.7,80.91,63.67,87.77,63.02
each_layer,3,1.0,valid_all,1.8+1.7,84.56,66.28,90.42,65.62
each_layer,4,1.0,valid_all,1.8+1.7,86.12,70.93,91.22,70.38
each_layer,5,1.0,valid_all,1.8+1.7,89.72,77.08,93.57,76.63
each_layer,6,1.0,valid_all,1.8+1.7,91.21,80.08,94.52,79.69
each_layer,7,1.0,valid_all,1.8+1.7,92.86,81.89,95.62,81.52
each_layer,8,1.0,valid_all,1.8+1.7,92.81,82.94,95.53,82.6
each_layer,9,1.0,valid_all,1.8+1.7,92.04,82.39,95.0,82.05
each_layer,10,1.0,valid_all,1.8+1.7,92.16,82.68,95.07,82.34
each_layer,11,1.0,valid_all,1.8+1.7,92.82,83.04,95.54,82.7
each_layer,12,1.0,valid_all,1.8+1.7,92.6,82.72,95.39,82.37
esm,-1,1.1079435013606325,valid_all,1.8+1.7,92.63,82.7,95.42,82.35
pabee,-1,1.5236228365223978,valid_all,1.8+1.7,91.04,79.78,94.39,79.38
random,-1,1.8556701030927836,valid_all,1.8+1.7,86.02,70.21,91.24,69.64
