strategy,layer,speedup,tuning,scale,ACC-all,F1,F1-ood,F1-ind
each_layer,1,1.0,valid_all,1.4+1.5,80.52,83.76,71.84,84.56
each_layer,2,1.0,valid_all,1.4+1.5,84.13,86.8,76.31,87.49
each_layer,3,1.0,valid_all,1.4+1.5,85.25,87.84,77.43,88.53
each_layer,4,1.0,valid_all,1.4+1.5,86.62,88.8,79.5,89.42
each_layer,5,1.0,valid_all,1.4+1.5,86.62,88.85,79.33,89.48
each_layer,6,1.0,valid_all,1.4+1.5,86.45,88.78,79.08,89.43
each_layer,7,1.0,valid_all,1.4+1.5,86.25,88.66,78.55,89.34
each_layer,8,1.0,valid_all,1.4+1.5,85.6,88.26,76.89,89.02
each_layer,9,1.0,valid_all,1.4+1.5,86.0,88.54,77.69,89.27
each_layer,10,1.0,valid_all,1.4+1.5,86.08,88.61,77.66,89.34
each_layer,11,1.0,valid_all,1.4+1.5,86.27,88.72,78.17,89.42
each_layer,12,1.0,valid_all,1.4+1.5,85.75,88.39,77.06,89.14
esm,-1,2.2408963585434174,valid_all,1.4+1.5,86.68,89.01,79.26,89.66
pabee,-1,2.518186905428092,valid_all,1.4+1.5,86.37,88.79,78.86,89.46
random,-1,1.8580645161290323,valid_all,1.4+1.5,85.58,88.05,77.78,88.73
