strategy,layer,speedup,tuning,scale,ACC-all,F1,F1-ood,F1-ind
each_layer,1,1.0,valid_all,1.4+1.5,62.93,70.88,0.96,75.54
each_layer,2,1.0,valid_all,1.4+1.5,65.45,73.1,4.82,77.65
each_layer,3,1.0,valid_all,1.4+1.5,71.38,76.56,56.01,77.93
each_layer,4,1.0,valid_all,1.4+1.5,78.72,82.33,67.57,83.31
each_layer,5,1.0,valid_all,1.4+1.5,81.35,84.71,70.58,85.65
each_layer,6,1.0,valid_all,1.4+1.5,82.52,85.78,71.93,86.7
each_layer,7,1.0,valid_all,1.4+1.5,82.57,86.11,71.86,87.06
each_layer,8,1.0,valid_all,1.4+1.5,82.5,86.16,71.53,87.13
each_layer,9,1.0,valid_all,1.4+1.5,83.73,87.03,73.76,87.91
each_layer,10,1.0,valid_all,1.4+1.5,83.88,87.23,73.94,88.11
each_layer,11,1.0,valid_all,1.4+1.5,83.68,87.16,73.16,88.1
each_layer,12,1.0,valid_all,1.4+1.5,84.23,87.5,73.91,88.4
esm,-1,1.646090534979424,valid_all,1.4+1.5,83.1,86.64,71.57,87.64
pabee,-1,1.6811039249106914,valid_all,1.4+1.5,82.72,86.35,71.05,87.37
random,-1,1.8331338951549254,valid_all,1.4+1.5,79.0,83.05,65.09,84.24
