strategy,layer,speedup,tuning,scale,ACC-all,F1,F1-ood,F1-ind
each_layer,1,1.0,valid_all,1.4+1.5,64.38,72.26,2.04,76.94
each_layer,2,1.0,valid_all,1.4+1.5,75.8,79.43,64.48,80.43
each_layer,3,1.0,valid_all,1.4+1.5,80.02,83.0,69.89,83.87
each_layer,4,1.0,valid_all,1.4+1.5,82.93,85.42,75.1,86.1
each_layer,5,1.0,valid_all,1.4+1.5,85.43,87.51,78.99,88.07
each_layer,6,1.0,valid_all,1.4+1.5,86.77,88.71,80.71,89.24
each_layer,7,1.0,valid_all,1.4+1.5,86.72,88.64,80.53,89.18
each_layer,8,1.0,valid_all,1.4+1.5,86.88,88.85,80.59,89.4
each_layer,9,1.0,valid_all,1.4+1.5,86.95,88.91,80.51,89.47
each_layer,10,1.0,valid_all,1.4+1.5,86.73,88.79,80.17,89.36
each_layer,11,1.0,valid_all,1.4+1.5,86.98,88.92,80.7,89.46
each_layer,12,1.0,valid_all,1.4+1.5,86.17,88.34,79.15,88.95
esm,-1,1.7684768992705033,valid_all,1.4+1.5,86.92,88.86,80.56,89.41
pabee,-1,1.6917293233082706,valid_all,1.4+1.5,86.18,88.32,79.25,88.92
random,-1,1.8310826276035708,valid_all,1.4+1.5,83.08,85.61,74.61,86.34
