strategy,layer,speedup,tuning,scale,ACC-all,F1,F1-ood,F1-ind
each_layer,1,1.0,valid_all,1.4+1.5,82.87,85.48,75.5,86.14
each_layer,2,1.0,valid_all,1.4+1.5,86.97,88.84,80.84,89.38
each_layer,3,1.0,valid_all,1.4+1.5,87.3,89.02,81.73,89.5
each_layer,4,1.0,valid_all,1.4+1.5,87.77,89.52,82.08,90.02
each_layer,5,1.0,valid_all,1.4+1.5,88.33,89.9,83.05,90.36
each_layer,6,1.0,valid_all,1.4+1.5,87.92,89.71,82.12,90.22
each_layer,7,1.0,valid_all,1.4+1.5,87.65,89.53,81.53,90.06
each_layer,8,1.0,valid_all,1.4+1.5,87.38,89.19,81.18,89.73
each_layer,9,1.0,valid_all,1.4+1.5,87.32,89.25,80.84,89.82
each_layer,10,1.0,valid_all,1.4+1.5,87.17,89.21,80.28,89.8
each_layer,11,1.0,valid_all,1.4+1.5,87.08,89.18,80.26,89.77
each_layer,12,1.0,valid_all,1.4+1.5,86.5,88.71,79.37,89.34
esm,-1,2.2559924800250664,valid_all,1.4+1.5,87.67,89.52,81.65,90.05
pabee,-1,2.514493259761123,valid_all,1.4+1.5,87.35,89.34,81.16,89.88
random,-1,1.819468310926918,valid_all,1.4+1.5,87.17,88.99,81.19,89.51
