strategy,layer,speedup,tuning,scale,ACC-all,F1,F1-ood,F1-ind
each_layer,1,1.0,valid_all,1.5+1.2,76.92,64.95,84.32,63.93
each_layer,2,1.0,valid_all,1.5+1.2,83.44,77.02,88.39,76.42
each_layer,3,1.0,valid_all,1.5+1.2,86.36,79.55,90.67,78.97
each_layer,4,1.0,valid_all,1.5+1.2,80.97,76.34,86.36,75.82
each_layer,5,1.0,valid_all,1.5+1.2,83.73,78.28,88.59,77.73
each_layer,6,1.0,valid_all,1.5+1.2,84.81,79.5,89.4,78.98
each_layer,7,1.0,valid_all,1.5+1.2,85.06,78.55,89.68,77.97
each_layer,8,1.0,valid_all,1.5+1.2,85.39,78.99,89.91,78.41
each_layer,9,1.0,valid_all,1.5+1.2,86.75,78.74,91.0,78.09
each_layer,10,1.0,valid_all,1.5+1.2,88.18,80.46,92.02,79.85
each_layer,11,1.0,valid_all,1.5+1.2,88.51,80.8,92.27,80.2
each_layer,12,1.0,valid_all,1.5+1.2,88.96,81.19,92.61,80.59
esm,-1,2.479205795546016,valid_all,1.5+1.2,87.82,80.88,91.77,80.31
pabee,-1,2.186594095722653,valid_all,1.5+1.2,86.43,80.21,90.71,79.66
random,-1,1.8646889662479187,valid_all,1.5+1.2,84.71,76.91,89.53,76.25
