strategy,layer,speedup,tuning,scale,ACC-all,F1,F1-ood,F1-ind
each_layer,1,1.0,valid_all,1.5+1.2,70.84,57.02,79.41,55.84
each_layer,2,1.0,valid_all,1.5+1.2,82.27,74.62,87.77,73.93
each_layer,3,1.0,valid_all,1.5+1.2,84.25,75.68,89.42,74.95
each_layer,4,1.0,valid_all,1.5+1.2,85.32,74.12,90.36,73.26
each_layer,5,1.0,valid_all,1.5+1.2,87.14,77.43,91.44,76.69
each_layer,6,1.0,valid_all,1.5+1.2,87.24,77.1,91.49,76.35
each_layer,7,1.0,valid_all,1.5+1.2,84.38,76.59,89.09,75.93
each_layer,8,1.0,valid_all,1.5+1.2,85.97,77.41,90.41,76.73
each_layer,9,1.0,valid_all,1.5+1.2,84.19,76.1,88.93,75.43
each_layer,10,1.0,valid_all,1.5+1.2,87.34,76.2,91.65,75.38
each_layer,11,1.0,valid_all,1.5+1.2,83.64,75.41,88.53,74.72
each_layer,12,1.0,valid_all,1.5+1.2,85.81,76.34,90.36,75.61
esm,-1,2.311011067341962,valid_all,1.5+1.2,88.54,78.95,92.42,78.24
pabee,-1,1.9831517948167623,valid_all,1.5+1.2,86.53,76.89,91.04,76.14
random,-1,1.8172878355787196,valid_all,1.5+1.2,83.34,72.7,88.72,71.86
