strategy,layer,speedup,tuning,scale,ACC-all,F1,F1-ood,F1-ind
each_layer,1,1.0,valid_all,1.5+1.2,81.07,60.93,88.38,59.49
each_layer,2,1.0,valid_all,1.5+1.2,87.76,78.61,91.81,77.92
each_layer,3,1.0,valid_all,1.5+1.2,89.48,80.04,93.11,79.35
each_layer,4,1.0,valid_all,1.5+1.2,88.05,78.9,92.06,78.21
each_layer,5,1.0,valid_all,1.5+1.2,86.69,78.76,90.91,78.12
each_layer,6,1.0,valid_all,1.5+1.2,88.21,79.76,92.07,79.11
each_layer,7,1.0,valid_all,1.5+1.2,85.62,78.11,89.99,77.49
each_layer,8,1.0,valid_all,1.5+1.2,86.85,79.25,90.94,78.63
each_layer,9,1.0,valid_all,1.5+1.2,85.97,78.78,90.24,78.18
each_layer,10,1.0,valid_all,1.5+1.2,89.25,81.0,92.8,80.38
each_layer,11,1.0,valid_all,1.5+1.2,88.8,80.84,92.42,80.23
each_layer,12,1.0,valid_all,1.5+1.2,83.67,76.53,88.39,75.91
esm,-1,2.5927744650999647,valid_all,1.5+1.2,90.13,81.95,93.46,81.35
pabee,-1,2.1699054776023017,valid_all,1.5+1.2,88.44,80.43,92.23,79.81
random,-1,1.8364304879260658,valid_all,1.5+1.2,86.62,76.95,91.11,76.21
