strategy,layer,speedup,tuning,scale,ACC-all,F1,F1-ood,F1-ind
each_layer,1,1.0,valid_all,1.5+1.2,83.73,65.38,90.33,64.07
each_layer,2,1.0,valid_all,1.5+1.2,87.99,78.7,92.06,77.99
each_layer,3,1.0,valid_all,1.5+1.2,87.01,79.23,91.12,78.61
each_layer,4,1.0,valid_all,1.5+1.2,88.31,80.55,92.12,79.94
each_layer,5,1.0,valid_all,1.5+1.2,87.44,79.77,91.49,79.15
each_layer,6,1.0,valid_all,1.5+1.2,85.32,77.68,89.81,77.04
each_layer,7,1.0,valid_all,1.5+1.2,83.08,76.02,88.0,75.39
each_layer,8,1.0,valid_all,1.5+1.2,85.39,77.9,89.83,77.27
each_layer,9,1.0,valid_all,1.5+1.2,87.6,79.6,91.54,78.97
each_layer,10,1.0,valid_all,1.5+1.2,87.53,80.08,91.47,79.48
each_layer,11,1.0,valid_all,1.5+1.2,86.43,79.07,90.63,78.47
each_layer,12,1.0,valid_all,1.5+1.2,87.47,80.05,91.43,79.46
esm,-1,2.6074074074074067,valid_all,1.5+1.2,88.86,81.14,92.52,80.54
pabee,-1,2.2781065088757395,valid_all,1.5+1.2,88.96,81.68,92.54,81.11
random,-1,1.840820798884351,valid_all,1.5+1.2,86.66,77.85,90.99,77.16
