strategy,layer,speedup,tuning,scale,ACC-all,F1,F1-ood,F1-ind
each_layer,1,1.0,valid_all,1.5+1.5,76.91,80.04,73.42,80.1
each_layer,2,1.0,valid_all,1.5+1.5,84.72,86.5,82.89,86.53
each_layer,3,1.0,valid_all,1.5+1.5,84.56,87.01,82.15,87.05
each_layer,4,1.0,valid_all,1.5+1.5,85.11,87.8,82.36,87.85
each_layer,5,1.0,valid_all,1.5+1.5,84.74,87.82,81.45,87.88
each_layer,6,1.0,valid_all,1.5+1.5,86.77,89.33,84.07,89.38
each_layer,7,1.0,valid_all,1.5+1.5,86.79,89.62,83.83,89.67
each_layer,8,1.0,valid_all,1.5+1.5,86.77,89.77,83.67,89.83
each_layer,9,1.0,valid_all,1.5+1.5,86.49,89.83,82.99,89.9
each_layer,10,1.0,valid_all,1.5+1.5,86.88,89.9,83.63,89.96
each_layer,11,1.0,valid_all,1.5+1.5,87.91,90.47,85.19,90.52
each_layer,12,1.0,valid_all,1.5+1.5,89.23,91.13,87.19,91.16
esm,-1,1.6637478108581436,valid_all,1.5+1.5,88.39,90.5,86.13,90.53
pabee,-1,2.152974504249292,valid_all,1.5+1.5,87.53,89.64,85.32,89.68
random,-1,1.8269230769230769,valid_all,1.5+1.5,85.14,87.84,82.21,87.89
