strategy,layer,speedup,tuning,scale,ACC-all,F1,F1-ood,F1-ind
each_layer,1,1.0,valid_all,1.5+1.5,82.19,84.7,79.65,84.74
each_layer,2,1.0,valid_all,1.5+1.5,87.53,89.19,85.71,89.22
each_layer,3,1.0,valid_all,1.5+1.5,87.39,89.0,85.64,89.03
each_layer,4,1.0,valid_all,1.5+1.5,87.33,89.16,85.36,89.2
each_layer,5,1.0,valid_all,1.5+1.5,86.98,89.38,84.41,89.43
each_layer,6,1.0,valid_all,1.5+1.5,87.96,90.2,85.52,90.24
each_layer,7,1.0,valid_all,1.5+1.5,88.65,90.63,86.48,90.67
each_layer,8,1.0,valid_all,1.5+1.5,86.54,89.5,83.24,89.55
each_layer,9,1.0,valid_all,1.5+1.5,89.25,90.87,87.42,90.91
each_layer,10,1.0,valid_all,1.5+1.5,88.95,90.87,86.9,90.9
each_layer,11,1.0,valid_all,1.5+1.5,89.75,91.34,88.04,91.37
each_layer,12,1.0,valid_all,1.5+1.5,89.02,91.04,86.85,91.08
esm,-1,1.7599382477807797,valid_all,1.5+1.5,89.44,91.28,87.49,91.31
pabee,-1,2.3943711275247663,valid_all,1.5+1.5,88.77,90.67,86.75,90.71
random,-1,1.836932001289075,valid_all,1.5+1.5,87.81,89.81,85.55,89.85
