strategy,layer,speedup,tuning,scale,ACC-all,F1,F1-ood,F1-ind
each_layer,1,1.0,valid_all,1.5+1.5,82.0,83.73,80.53,83.75
each_layer,2,1.0,valid_all,1.5+1.5,85.6,87.46,83.59,87.49
each_layer,3,1.0,valid_all,1.5+1.5,84.93,87.72,82.08,87.77
each_layer,4,1.0,valid_all,1.5+1.5,85.65,88.18,83.1,88.23
each_layer,5,1.0,valid_all,1.5+1.5,85.51,88.33,82.54,88.38
each_layer,6,1.0,valid_all,1.5+1.5,86.26,88.95,83.47,89.0
each_layer,7,1.0,valid_all,1.5+1.5,86.14,89.38,82.75,89.44
each_layer,8,1.0,valid_all,1.5+1.5,85.63,89.17,81.91,89.23
each_layer,9,1.0,valid_all,1.5+1.5,86.11,89.39,82.7,89.45
each_layer,10,1.0,valid_all,1.5+1.5,85.86,89.36,82.14,89.42
each_layer,11,1.0,valid_all,1.5+1.5,88.4,90.34,86.34,90.37
each_layer,12,1.0,valid_all,1.5+1.5,88.75,90.66,86.72,90.7
esm,-1,1.7740429505135389,valid_all,1.5+1.5,87.49,89.94,84.96,89.98
pabee,-1,2.4268227780734435,valid_all,1.5+1.5,87.18,89.55,84.72,89.59
random,-1,1.859504132231405,valid_all,1.5+1.5,85.44,88.0,82.67,88.05
