strategy,layer,speedup,tuning,scale,ACC-all,F1,F1-ood,F1-ind
each_layer,1,1.0,valid_all,1.5+1.5,73.09,79.0,65.76,79.12
each_layer,2,1.0,valid_all,1.5+1.5,84.39,86.19,82.34,86.23
each_layer,3,1.0,valid_all,1.5+1.5,84.67,87.2,81.88,87.25
each_layer,4,1.0,valid_all,1.5+1.5,86.54,88.41,84.53,88.45
each_layer,5,1.0,valid_all,1.5+1.5,87.84,89.58,85.92,89.61
each_layer,6,1.0,valid_all,1.5+1.5,88.86,90.7,86.82,90.74
each_layer,7,1.0,valid_all,1.5+1.5,89.4,91.01,87.56,91.05
each_layer,8,1.0,valid_all,1.5+1.5,89.61,91.21,87.72,91.25
each_layer,9,1.0,valid_all,1.5+1.5,89.42,91.16,87.45,91.2
each_layer,10,1.0,valid_all,1.5+1.5,89.42,91.21,87.37,91.25
each_layer,11,1.0,valid_all,1.5+1.5,90.26,91.7,88.54,91.73
each_layer,12,1.0,valid_all,1.5+1.5,89.72,91.4,87.72,91.44
esm,-1,1.6501411304914235,valid_all,1.5+1.5,89.58,91.23,87.64,91.27
pabee,-1,2.0460664074184858,valid_all,1.5+1.5,88.7,90.24,86.94,90.27
random,-1,1.8276553106212425,valid_all,1.5+1.5,86.84,88.78,84.56,88.82
